This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
OJS KB Radar Managing Company, a.k.a., the following two aliases:—JSC KB Radar; and—KB Radar. 64A Partizanskyi Prospect, Minsk, 220026, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Peleng JSC, 25 Makaenka St., Minsk, 220114, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
SOE Semiconductor Devices Factory, Office 313, 12 Korzhenevsky Street, 220108 Minsk, Republic of Belarus; and Korjenevsky Str., 12, Minsk, 220108, Belarus; and 12, Korzhenevskogo Str., Minsk, 220108, Belarus. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 36516, 6/28/10. 77 FR 58006, 9/19/12. 90 FR 44499, 9/16/25.
State Authority for Military Industry of the Republic of Belarus, 115 Nezavisimosti Avenue, Minsk, 220114, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
State Security Committee of the Republic of Belarus, 17 Nezavisimosti Avenue, Minsk, 220030, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
The Ministry of Defence of the Republic of Belarus, including the Armed Forces of Belarus and all operating units wherever located. This includes the national armed services (army and air force), as well as the national guard and national police, government intelligence or reconnaissance organizations of the Republic of Belarus. All addresses located in Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 13061, 3/8/22. 87 FR 34136, 6/6/22.
Transaviaexport Airlines JSC, 44 Zakhariva Street, Minsk, 220034, Republic of Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
Vasili Kuntsevich, Office 313, 12 Korzhenevsky Street, 220108 Minsk, Republic of Belarus; and Korjenevsky Str., 12, Minsk, 220108, Republic of Belarus; and 12, Korzhenevskogo Str., Minsk, 220108, Belarus. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 36516, 6/28/10. 77 FR 58006, 9/19/12. 90 FR 44499, 9/16/25.
Volatavto OJSC, a.k.a., the following one alias:—NPP VOLATauto. 2/1 Kulman St., office 1-143, Minsk, 220013, Belarus; and 133 Socialist Street, Slutsk, Minsk Region, 223610, Belarus. | All items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 20299, 4/7/22. 87 FR 34136, 6/6/22.
BELGIUM | European Technical Trading BV, a.k.a., the following one alias: —ETT BV. 24 Booiebos, Ghent, Flemish Region, 9031, Belgium. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 85097, 12/7/23.
Hans Maria De Geetere, a.k.a., the following one alias: —Hans De Geetere. 121 Paul Parmentierlaan, Knokke-Heist, 8300, Belgium; and 4 Nyckeestraat, Knokke-Heist, 8300, Belgium. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 85097, 12/7/23.
Huawei Technologies Research & Development Belgium NV, Technologiepark 19, 9052 Zwijnaarde Belgium. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 84 FR 43495, 8/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Industrial Metals and Commodities, Goffarstraad 16, B-1050, Brussels, Belgium. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 40241, 8/14/19.
Knokke-Heist Support Management Corporation, a.k.a., the following two aliases: —Hasa-Invest; and —Knokke-Heist Support Corporation Management. 121 Paul Parmentierlaan, Knokke-Heist, 8300, Belgium; and 4 Nyckeestraat, Knokke-Heist, 8300, Belgium. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 85097, 12/7/23.
Nicolas Kaiga, a.k.a., the following one alias: —Nicholas Kaiga Goffarstraad 16, B-1050, Brussels, Belgium. (See alternate addresses under Netherlands and United Kingdom) | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 40241, 8/14/19.
BELIZE | Ecotherm-Cryo Limited, 11⁄2 Miles Northern Highway, Belize City, Belize. (See alternate address under Latvia). | For all items subject to the EAR. (See § 744.11 of the EAR) | Policy of denial | 87 FR 13143, 3/9/22.
Experian Holdings, Inc., N Eyre Str, Blake Bldg, Suite 302, Belize City, Belize 99008; and Corner Hutson Eyre Str, Blake Bldg, Suite 302, Belize City, Belize 99008. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
BOLIVIA | Huawei Technologies (Bolivia) S.R.L., La Paz, Bolivia. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
BRAZIL | Huawei Cloud Brazil, Sau Paulo, Brazil. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 8182, 2/14/22. 87 FR 21012, 4/11/22. 87 FR 55250, 9/9/22.
Huawei do Brasil Telecomunicacões Ltda, Sao Paulo, Brazil; and Av. Jerome Case, 2600, Sorocaba—SP, 18087-220, Brazil. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 84 FR 43495, 8/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
BULGARIA | Dimitar Milanov Dimitrov, G.K. Dianabad, BL.57, ET.11, AP.74. Sofia, Bulgaria. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Iskren Georgiev, 51 Aleksandar Malinov Blvd., Sofia 1712, Bulgaria. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 83 FR 3580, 1/26/18.
Lyubka Hristova, 51 Aleksandar Malinov Blvd., Sofia 1712, Bulgaria. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 83 FR 3580, 1/26/18.
Mariana Marinova Gargova, G.K. Dianabad, BL. 32, VH. V, AP. 53, 1172 Sofia, Bulgaria; and UL.132, NO.14, ET.2, AP.11, Sofia, Bulgaria. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Mihaela Nenova, a.k.a., the following one alias: —Mihaela Nenova-Muhy, 51 Aleksandar Malinov Blvd., Sofia 1712, Bulgaria. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 83 FR 3580, 1/26/18.
Milan Dimitrov, UL.132, NO.14, ET.2, AP.11, Sofia, Bulgaria. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Multi Technology Integration Group EOOD (MTIG), G.K. Dianabad, BL. 32, VH. V, AP. 53, 1172 Sofia, Bulgaria; and UL 132 No 14 AP 11, Sofia, Bulgaria. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Zhelyaz Andreev, 51 Aleksandar Malinov Blvd., Sofia 1712, Bulgaria. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 83 FR 3580, 1/26/18.
BURMA | FISCA Security & Communication Co., Ltd., No-1/B, FISCA Building, 9 Miles, Pyay Road, Mayangone Township, Yangon City, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for telecommunications infrastructure items described in Category 5 Part 1 or Category 5 Part 2 and consumer communications devices identified in § 740.19; Presumption of denial for all other items subject to the EAR | 88 FR 13675, 3/6/23.
Huawei Technologies (Yangon) Co., Ltd., Yangon, Burma. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
King Royal Technologies Co., Ltd., a.k.a., the following one alias:—KRT. 4, Min Dhama Rd., Shwe Gabar 6th St, Shwe Gabar Housing, Mayangone, Yangon , Burma; and Room 4 Shwe Gabar 6th Yangon, Burma. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 35391, 7/6/21.
Ministry of Defence, a.k.a., the following two aliases:—Ministry of Defense; and—MoD. Building 24, Nay Pyi Taw, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 13180, 3/8/21.
Ministry of Home Affairs, a.k.a., the following one alias:—MOHA. Building 10, Nay Pyi Taw, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 13180, 3/8/21.
Ministry of Transport and Communications, Office No. 2, Kyidaunggan, Naypidaw, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for telecommunications infrastructure items described in Category 5 Part 1 or Category 5 Part 2 and consumer communications devices identified in § 740.19; Presumption of denial for all other items subject to the EAR | 88 FR 13675, 3/6/23.
Miya Win International Ltd., 3rd street, Thit Sarhousing, No.3/401, (8) Ward, South Okkalapatownship, Yangon Region, Burma, 11091; and Kokkineresidence Street, No.12/B, Shwe Taungkyar (2) Ward, Bahan Township, Yangon Region, Burma, 11201. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 18985, 3/30/23.
Myanmar Economic Corporation, a.k.a., the following one alias:—MEC. Corner of Ahlone Road and Strand Road, Ahlone Township, Yangon, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 13180, 3/8/21. 86 FR 35391, 7/6/21.
Myanmar Economic Holdings Limited, a.k.a., the following eight aliases:—MEHL;—Myanma Economic Holdings Limited;—Myanma Economic Holdings Public Company Limited;—Myanmar Business Holdings Public Company Limited;—Myanmar Economic Holdings Public Company Limited;—UMEH;—Union of Myanmar Economic Holdings Company Limited; and—Union of Myanmar Economic Holdings Limited. 189-191 Maha Bandoola Road, Botahtaung Township, Yangon, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 13180, 3/8/21.
Myanmar New Era Trading Company Ltd., Bo Myint Swe Street, No. (B/193), Aung Chan Thar (2) Ward, Thanlyin Township, Yangon Region, Burma, 01-655200. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 18985, 3/30/23.
Myanmar Wanbao Mining Copper, Ltd., Yangon Office 70 (I)Bo Chein Street Pyay Road, Hlaing Township, Yangon, Burma. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 35391, 7/6/21.
Myanmar Yang Tse Copper, Ltd., 70/I, Bo Chein St., Ward (11), Hlaing, Yangon, Burma. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 35391, 7/6/21.
Naung Yoe Technologies Co., Ltd., No. 92, Thiri Yadanar Shopping Complex Nay Pyi Taw,Zabuthiri Tsp, Nay Pyi Taw, Burma; and No. 16, Aung Min Khaung (2) Street, Kamaryut Township, Yangon, Burma; and Block-4, Unit-4, Corner of Mingalar 2 Street & Blue Diamond Street, Mingalar Mandalay, 73rd Street Between Thazin & Ngu Wah Street, MyoThit1, Chan Mya Tharsi Township, Mandalay, Burma; and No. 315, Aung San Street, Myine Thar Yar Quater, Mawlamyine, Burma; and No. 131, Saw San Tun Street, Myoma Quatar, Taunggyi, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for telecommunications infrastructure items described in Category 5 Part 1 or Category 5 Part 2 and consumer communications devices identified in § 740.19; Presumption of denial for all other items subject to the EAR | 88 FR 13675, 3/6/23.
Sky Aviator Company Limited, a.k.a., the following four aliases: —Sky Aviator Company Ltd.; —Sky Aviator Co.; —Sky Aviator.; and —Sky Aviator Co. Ltd. No. (204/2), Myinthar 11th Street, 14/1 Ward, South Okkalarpa Township, Yangon Region, Burma; and No. 286, Bogyoke Street, Ward No. 2, Waibargi, North Okkalarpa Township, Yangon Region, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 99703, 12/11/24.
Suntac Group, a.k.a., the following one alias: —Suntac International Trading Co.; and —Suntac Group of Companies. 151 (B) Thiri Mingalar Lane, Mayangon Township, Yangon, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 18985, 3/30/23.
Synpex Shwe Company Ltd., a.k.a., the following one alias: —SS Techniques Company Limited. Nat Yay Kann (1) Street, No.1259, (35) Quarter, North Dagon Township, Yangon Region, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 99703, 12/11/24.
Telecom International Myanmar Company Limited, a.k.a., the following two aliases: —Mytel; and —MyTel. 61-63 Zoological Garden Road, Yangon, Burma. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 561, 1/6/25.
Wanbao Mining, Ltd., 70 Bo Chain Ln, Yangon, Burma. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 35391, 7/6/21.
CANADA | Abou El-Khir Al Joundi, a.k.a., the following six aliases:—Abou El Kheir Joundi;—Abou Elkhir Al Joundi;—Abou Joundi Et Kheir;—Al Joundi;—Al Jundi; and—Elkheir Aljoundi Abou. 2706 Carre Denise Pelletier, Montreal, Quebec, H4R 2T5 Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 231164/18/12.
Alex Woolf, 2021 Atwater Street, Suite 216, Montreal, Quebec, Canada H3H2P2. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Alexandre Ivjenko, a.k.a., the following one alias:—Alexander Ivjenko, 7150 Rue Chouinard, Montreal, QC, H8N 2Z6 Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Ali Bakhshien, 909-4005 Bayview Ave., Toronto, Canada M2M 3Z9; and HSBC Tower, Suite 502, 3601 Highway 7 East, Markham, Ontario, L3R 0M3, Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 73 FR 54504, 9/22/08. 76 FR 71869, 11/21/11.
Anastasiya Ivjenko, 7150 Rue Chouinard, Montreal, QC, H8N 2Z6, Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Anastassia Voronkevitch, 7150 Rue Chouinard, Montreal, QC H8N 2Z6 Canada | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61249, 10/9/12, 78 FR 75463, 12/12/13.
Canada Lab Instruments, a.k.a., the following alias: —SCO North America 5995 Gouin Ouest, #212, Montreal, Quebec, H4J 2P8 Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 231164/18/12.
CPUNTO Inc., a.k.a., the following one alias: —CPUNTO. 5929 Route Transcanadienne Ste 130 St. Laurent, Quebec H4T 1Z6 Canada. | For all items subject to the EAR. (See §§ 734.9(g),3 744.21(b), and 746.8(a)(3) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 12171, 2/27/23.
EKT 2, Inc., 371 Renforth Drive, Etobicoke M9C 2L8, Toronto, Ontario, Canada | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 24590, 4/25/12.
Electronic Network Inc., a.k.a., the following six aliases: —Electronic Network; —Electronic Network Holdings; —Electronic Network Holdings Inc.; —Electronic Network Incorporated; —Electronic Network Products Inc.; and —Electronic's Network & Technology Corp. 145 Montee De Liesse Ste 10 St. Laurent, Quebec H4T 1T9 Canada. | For all items subject to the EAR. (See §§ 734.9(g),3 744.21(b), and 746.8(a)(3) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 12171, 2/27/23.
Enterprise Chips Hunter (ECH), 2021 Atwater Street, Suite 216, Montreal, Quebec, Canada H3H2P2. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Huawei Technologies Canada Co., Ltd., Markham, ON, Canada. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Ibrahim Nasir, 1902-1155 High Street, Coquitlam, BC, Canada V3B 7W4. (See alternate address in UAE). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 59421, 9/22/20.
Karim Daadaa, a.k.a., the following one alias:—Karim Hamdi Mohd El Daadaa. 235 Rue Maisonneuve, Laval, Canada. (See alternate addresses under Lebanon). | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 36499, 7/12/21.
Kelvo Inc 6600 21st Avenue, Laval, Quebec H7R3G8, Canada; and 7169 19th Avenue, Laval, Quebec H7R3E5, Canada | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 40241, 8/14/19.
Kitro Corporation, 909-4005 Bayview Ave., Toronto, Canada M2M 3Z9; and HSBC Tower, Suite 502, 3601 Highway 7 East, Markham, Ontario, L3R 0M3, Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 73 FR 54504, 9/22/08. 76 FR 71869, 11/21/11.
Liubov “Luba” Skvortsova, a.k.a., the following one alias:—Lubov Skvortsova, 7150 Rue Chouinard, Montreal, QC, H8N 2Z6 Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Magtech, a.k.a., the following one alias:—M.A.G. Tech, 5762 Royalmount Ave, Montreal, QC, H4P 1K5, Canada; and 5440 Queen Mart St, Office 103, Montreal, Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Maria Pashovkina, 7150 Rue Chouinard, Montreal, QC, H8N 2Z6, Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Megatek TI Solutions, a.k.a., the following one alias: —Megatek IT Solutions. 4600 Avenue Colomb, #604, Brossard, Quebec, Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 68548, 8/27/24.
Mercury Electronic Solutions, a.k.a., the following one alias:—Mercury Group International, 380 Vansickle Rd Unit 660, St. Catharines, ON L2126P7, Canada; and 127 Rue Wilson, Dollard-des-Ormeaux, Quebec H9A1W7, Canada. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 61256, 10/9/12.
Modern Agropharmaceuticals & Trade Establishment, 235 Rue Maisonneuve, Laval, Canada. (See alternate addresses under Lebanon). | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 36499, 7/12/21.
